Ticker,Date/Time,Open,High,Low,Close,Volume,ZigZag05,ZigZag10,ZigZag15
S50IF_CONOI,05/08/2019 10:15:00,1101.8000,1103.1000,1099.8000,1100.0000,9081.0000,1102.3259,1089.6232,1088.4581
S50IF_CONOI,05/08/2019 10:30:00,1100.0000,1101.8000,1099.8000,1100.7000,6459.0000,1101.4296,1089.3621,1088.2552
S50IF_CONOI,05/08/2019 10:45:00,1100.7000,1101.8000,1100.3000,1101.7000,3688.0000,1100.5333,1089.1008,1088.0524
S50IF_CONOI,05/08/2019 11:00:00,1101.7000,1101.8000,1100.7000,1101.4000,3525.0000,1099.6371,1088.8397,1087.8495
S50IF_CONOI,05/08/2019 11:15:00,1101.4000,1101.5000,1100.0000,1100.8000,4023.0000,1098.7407,1088.5785,1087.6465
S50IF_CONOI,05/08/2019 11:30:00,1100.8000,1101.6000,1100.2000,1100.7000,2558.0000,1097.8445,1088.3174,1087.4436
S50IF_CONOI,05/08/2019 11:45:00,1100.6000,1101.0000,1099.1000,1099.8000,3814.0000,1096.9481,1088.0563,1087.2407
S50IF_CONOI,05/08/2019 12:00:00,1099.7000,1100.3000,1099.6000,1100.0000,2776.0000,1096.0519,1087.7950,1087.0378
S50IF_CONOI,05/08/2019 12:15:00,1100.0000,1101.2000,1099.9000,1100.6000,3601.0000,1095.1555,1087.5339,1086.8350
S50IF_CONOI,05/08/2019 14:15:00,1101.0000,1102.2000,1099.5000,1099.7000,4676.0000,1094.2593,1087.2727,1086.6320
S50IF_CONOI,05/08/2019 14:30:00,1099.7000,1100.5000,1098.6000,1099.7000,5780.0000,1093.3629,1087.0116,1086.4291
S50IF_CONOI,05/08/2019 14:45:00,1099.7000,1100.8000,1099.0000,1099.2000,4192.0000,1092.4667,1086.7505,1086.2262
S50IF_CONOI,05/08/2019 15:00:00,1099.1000,1099.6000,1096.5000,1097.2000,14089.0000,1091.5704,1086.4893,1086.0233
S50IF_CONOI,05/08/2019 15:15:00,1097.2000,1097.6000,1095.8000,1096.5000,8696.0000,1090.6741,1086.2281,1085.8203
S50IF_CONOI,05/08/2019 15:30:00,1096.6000,1098.1000,1096.1000,1096.7000,6737.0000,1089.7778,1085.9669,1085.6174
S50IF_CONOI,05/08/2019 15:45:00,1096.7000,1096.8000,1095.6000,1095.7000,3639.0000,1088.8815,1085.7058,1085.4146
S50IF_CONOI,05/08/2019 16:00:00,1095.8000,1096.3000,1094.5000,1095.7000,8503.0000,1087.9852,1085.4447,1085.2117
